,이름,장르,총합 별점,관심수,평균 조회수,평균 업로드 간격,평균 공백 제거 글자수,평균 댓글 수,Target
211,메피스토펠레스의 새로운 계약,현판,0.0,1,19.0,0.0,1352.6,0.0,0
212,요괴연방기지,현판,0.0,1,4.0,4.5,6200.4,0.0,0
213,퇴마사의 퇴마 일지.,현판,0.0,1,7.6,2.0,898.0,0.0,0
214,나의 축구일지,현판,10.0,1,12.0,9.75,1220.6,0.0,0
215,사사무,무협,10.0,16,197.4,1.75,3902.2,0.0,0
216,대륙상방의 망나니가 천하제일,무협,10.0,9,157.2,0.75,4240.8,0.8,0
217,"마교 교주, 스님 되다",무협,10.0,6,92.6,0.75,5250.4,0.0,0
218,천하재패 혁오전기 1,무협,6.63,6,243.8,0.5,152.4,0.0,0
219,반심기연(半心奇緣),무협,10.0,4,334.6,4.5,4632.6,0.0,0
220,[정통무협] 천하도,무협,9.15,66,1265.6,0.0,2617.4,0.6,0
221,무천세계 2,무협,1.3,6,657.6,0.0,201.2,0.0,0
222,천하재패,무협,7.45,15,2046.4,0.0,324.0,0.6,0
223,천하재패 2 새로운 시작입니다.,무협,5.5,8,488.6,0.0,252.8,0.0,0
224,락성산ㅡ환시교비급들.,무협,6.1,6,976.4,1.5,229.8,0.0,0
225,"明劍, 보이지 않는 칼",무협,10.0,18,1755.6,0.5,4917.8,0.8,0
226,무적문,무협,9.94,19,2507.8,14.0,1016.4,0.0,0
227,"유선, 산적이 된 왕",무협,9.98,10,840.2,1.0,3990.6,2.4,0
228,청유비전,무협,10.0,5,892.4,1.0,169.6,0.0,0
229,천하재패 3,무협,5.61,5,237.0,0.0,245.6,0.4,0
230,눈꽃 나비,무협,9.83,17,503.2,0.0,1766.2,1.8,0
231,신역행협 2,무협,9.03,13,319.8,0.75,178.2,2.8,0
232,천약(踐約) : 반드시 지켜야 할 약속,무협,9.9,63,1322.2,0.0,8868.0,1.4,0
233,제왕전객 1부 가난의 후예들,무협,9.61,11,519.0,1.25,974.6,0.0,0
234,대망(大望) : 아마쿠사의 신,무협,10.0,11,294.8,1.5,6017.8,1.6,0
235,함경도의 별,미스터리,9.86,345,3082.8,3.75,13253.8,5.2,0
236,이겸의 퇴마록,미스터리,0.0,3,24.6,1.0,1638.2,0.0,0
237,두명의 연쇄살인마,미스터리,9.76,7,48.8,1.25,1597.6,1.6,0
238,인류의 마지막 기회,미스터리,10.0,3,8.6,1.5,784.8,0.0,0
239,나를 사랑했던 그에게,미스터리,0.0,2,20.0,0.0,527.6,0.0,0
240,내 남자의 동생,미스터리,0.0,1,39.0,7.0,4048.6,0.0,0
241,"누가, 있다",미스터리,10.0,11,60.8,1.0,5644.8,1.2,0
242,방과후 괴담부,미스터리,0.0,0,14.0,1.25,3250.0,0.0,0
243,나이트메어 게임,미스터리,10.0,1,9.4,18.5,4001.6,0.0,0
244,"경무부의 수사고문, 성록 홍주",미스터리,9.98,14,128.2,0.0,7917.2,0.6,0
245,모조품,미스터리,0.0,0,8.0,4.0,4427.8,0.0,0
246,피의연쇄,미스터리,9.55,3,50.8,7.0,2969.6,0.4,0
247,스파이일지,미스터리,9.92,7,68.4,1.75,4134.6,0.0,0
248,체스(chess),미스터리,8.56,6,58.2,42.25,632.6,4.0,0
249,우리 이웃의 범죄,미스터리,9.15,15,56.0,3.5,4123.4,0.4,0
250,"피에는 피, 죄에는 죄",미스터리,10.0,3,34.2,0.25,5296.6,0.0,0
251,좀비 사살 프로젝트,미스터리,7.45,31,809.6,0.25,1743.6,3.4,0
252,명이,미스터리,9.45,21,739.4,1.25,2431.8,1.2,0
253,네모난 바퀴,미스터리,8.87,11,297.0,4.0,1603.4,0.6,0
254,갈색 죽음,미스터리,9.97,12,245.4,0.25,2661.8,1.2,0
255,당신 아이 데려가세요,라이트노벨,10.0,11,276.2,0.0,4531.8,0.4,0
256,바람의 이름에게,라이트노벨,10.0,4,24.4,2.5,744.0,0.0,0
257,악역 영애의 사역마가 되었더니 황제라네요?,라이트노벨,8.33,2,7.2,0.5,2792.6,0.4,0
258,[TS]황룡이라 합니다,라이트노벨,8.88,19,205.4,1.25,3305.8,2.0,0
259,이세계의 황제,라이트노벨,10.0,1,17.4,3.25,3060.6,0.0,0
260,시간의 상대성,라이트노벨,10.0,3,66.2,2.5,3354.6,0.8,0
